GTRD peaks ID,UniProt ID,Cell Line,Treatment,Antibody,TFClass,Species,PubMed,GEO,ENCODE,Peak calls participated in analysis
PEAKS010031,ZN274_HUMAN,K562,,abnova mouse polyclonal anti-ZNF274, 2.3.3.0.6,Homo sapiens,21170338,"GSE24632,GSM607481,GSM607482",,1000
PEAKS010032,ZN274_HUMAN,HepG2,,abnova mouse polyclonal anti-ZNF274, 2.3.3.0.6,Homo sapiens,21170338,"GSE24632,GSM607483,GSM607484",,1000
PEAKS010034,ESR1_HUMAN,Breast cancer cells,E2 for 24hr,"ER?, Santa Cruz Biotechnology, sc-8005 X", 2.1.1.2.1,Homo sapiens,,"GSM862181,GSE35109",,1000
PEAKS010038,ESR1_HUMAN,Breast cancer cells,E2 for 4hr,"ER?, Santa Cruz Biotechnology, sc-8005 X", 2.1.1.2.1,Homo sapiens,,"GSM862180,GSE35109",,1000
PEAKS010039,ESR1_HUMAN,Breast cancer cells,E2 for 1hr,"ER?, Santa Cruz Biotechnology, sc-8005 X", 2.1.1.2.1,Homo sapiens,,"GSM862179,GSE35109",,1000
PEAKS010040,TF65_HUMAN,GM12878,TNF-alpha induced (6h),NF?B p65 (C-20) rabbit polyclonal antibody, 6.1.1.2.1,Homo sapiens,20299548,"GSM486316,GSM486319,GSM486317,GSE19485,GSM486318",,1000
PEAKS010041,TF65_HUMAN,GM18526,TNF-alpha induced (6h),NF?B p65 (C-20) rabbit polyclonal antibody, 6.1.1.2.1,Homo sapiens,20299548,"GSM486311,GSM486312,GSM486313,GSE19485",,1000
PEAKS010046,P73_HUMAN,Saos-2,,p73 beta isoform, 6.3.1.0.3,Homo sapiens,21459846,"GSE15780,GSM501690,GSM501689",,1000
PEAKS010070,ESR2_HUMAN,U2OS,,ER beta, 2.1.1.2.2,Homo sapiens,20404318,"GSM542547,GSE21770",,1000
PEAKS010071,ESR2_HUMAN,U2OS,E2,ER beta, 2.1.1.2.2,Homo sapiens,20404318,"GSM542548,GSE21770",,1000
PEAKS010073,E2F4_HUMAN,GM06990,,E2F4, 3.3.2.1.4,Homo sapiens,21247883,"GSM537063,GSE21488",,1000
PEAKS010074,TF7L2_HUMAN,U937,bio,TCF7L2, 4.1.3.0.3,Homo sapiens,22036566,"GSM722426,GSE29195",,1000
PEAKS010076,AP2C_HUMAN,MCF-7,,ap2, 1.3.1.0.3,Homo sapiens,20629094,"GSM530915,GSE21234",,1000
PEAKS010078,BCL6_HUMAN,JURL_MK1,,sc-858, 2.3.3.22.2,Homo sapiens,21911423,"GSM640427,GSE26085",,1000
PEAKS010079,ESR1_HUMAN,"MCF7, tamoxifen resistance",E2,sc-8005, 2.1.1.2.1,Homo sapiens,21167036,"GSM640422,GSE26083",,1000
PEAKS010080,ESR1_HUMAN,"MCF7, tamoxifen resistance",,sc-8005, 2.1.1.2.1,Homo sapiens,21167036,"GSM640421,GSE26083",,1000
PEAKS010081,SMAD1_HUMAN,K562,dorso,SMAD1, 7.1.1.1.1,Homo sapiens,22036566,"GSM722417,GSE29195",,1000
PEAKS010084,CTCF_HUMAN,NHEK,,07-079, 2.3.3.50.1,Homo sapiens,21106903,"GSM624081,GSE25416",,1000
PEAKS010091,ANDR_HUMAN,LNCaP androgen-dependent prostate cancer cell line,ethanol,sc-816, 2.1.1.1.4,Homo sapiens,,"GSM699630,GSE28264",,1000
PEAKS010095,GATA1_HUMAN,K562,bio,GATA1, 2.2.1.1.1,Homo sapiens,22036566,"GSM722412,GSE29195",,1000
PEAKS010096,ESR1_HUMAN,MCF-7 cells,E2,ERalpha, 2.1.1.2.1,Homo sapiens,19339991,"GSM365926,GSE14664",,1000
PEAKS010097,ESR1_HUMAN,MCF-7 cells,Tamoxifen,ERalpha, 2.1.1.2.1,Homo sapiens,19339991,"GSM365927,GSE14664",,1000
PEAKS010098,ESR1_HUMAN,MCF-7 cells,,ERalpha, 2.1.1.2.1,Homo sapiens,19339991,"GSM365925,GSE14664",,1000
PEAKS010102,RUNX2_HUMAN,C4-2B,,Runx2 Flag tagged, 6.4.1.0.1,Homo sapiens,22187159,"GSM838400,GSE33889",,1000
PEAKS010104,FOXA1_HUMAN,T47D,,"FOXA1 - Cat# AB4124, Chemicon", 3.3.1.1.1,Homo sapiens,21179027,"GSM659796,GSE26831",,1000
PEAKS010105,STAT6_HUMAN,CD4+ T cells,Act+IL-4 for 4hr,stat6, 6.2.1.0.7,Homo sapiens,20620947,"GSM445807,GSE17850",,1000
PEAKS010109,JUN_HUMAN,K562,,Jun, 1.1.1.1.1,Homo sapiens,20139302,"GSM487425,GSE19545",,1000
PEAKS010110,HNF4G_HUMAN,HepG2,,HNF4g, 2.1.3.2.2,Homo sapiens,21047794,"GSM469865,GSE18989",,1000
PEAKS010112,HNF4A_HUMAN,HepG2,,HNF4a F domain, 2.1.3.2.1,Homo sapiens,21047794,"GSM469863,GSE18989",,1000
PEAKS010115,RUNX1_HUMAN,"Jurkat, clone E6-1 T lymphocyte",,RUNX monoclonal from Nancy Speck, 6.4.1.0.2,Homo sapiens,20019798,"GSM449526,GSE17954",,1000
PEAKS010118,ERG_HUMAN,VCaP,regular medium,ERG, 3.5.2.1.6,Homo sapiens,20478527,"GSM353647,GSE14092",,1000
PEAKS010119,ERG_HUMAN,LNCaP,regular medium,ERG, 3.5.2.1.6,Homo sapiens,20478527,"GSM353648,GSE14092",,1000
PEAKS010120,ANDR_HUMAN,VCaP,ethanol,AR, 2.1.1.1.4,Homo sapiens,20478527,"GSM353645,GSE14092",,1000
PEAKS010133,ESR1_HUMAN,H3396,E2,ER-alpha, 2.1.1.2.1,Homo sapiens,21642965,"GSE32332,GSM811214,GSM811215",,1000
PEAKS010142,SUH_HUMAN,IB4,,Rabbit anti RBPJ, 6.1.4.1.1,Homo sapiens,21746931,"GSE29498,GSM729853,GSM729854",,1000
PEAKS010143,ZN143_HUMAN,CUTLL1,,ZNF143, 2.3.3.28.2,Homo sapiens,21737748,"GSM732907,GSE29600",,1000
PEAKS010154,PO5F1_HUMAN,H1,,OCT4, 3.1.10.5.1,Homo sapiens,19829295,"GSM447583,GSM447582,GSE17917",,1000
PEAKS010155,ESR1_HUMAN,T47D breast cancer cells,ETOH (ethanol),sc-543, 2.1.1.2.1,Homo sapiens,21179027,"GSM589239,GSE23893",,1000
PEAKS010156,ESR1_HUMAN,Ishikawa breast cancer cells,E2,sc-543, 2.1.1.2.1,Homo sapiens,21179027,"GSM589240,GSE23893",,1000
PEAKS010158,ESR1_HUMAN,ECC1 breast cancer cells,ETOH (ethanol),ER?, 2.1.1.2.1,Homo sapiens,21179027,"GSM589242,GSE23893",,1000
PEAKS010160,ESR1_HUMAN,MCF-7 breast cancer cells,ETOH (ethanol),sc-543, 2.1.1.2.1,Homo sapiens,21179027,"GSM589236,GSE23893",,1000
PEAKS010161,ESR1_HUMAN,MCF-7 breast cancer cells,E2,sc-543, 2.1.1.2.1,Homo sapiens,21179027,"GSM589237,GSE23893",,1000
PEAKS010166,P63_HUMAN,primary keratinocyte,,4A4 against p63, 6.3.1.0.2,Homo sapiens,20808887,"GSE17611,GSM439776,GSM439777",,1000
PEAKS010171,ATRX_HUMAN,Human Cultured Primary Erythroblasts,,"ATRX H300 (Santa Cruz Biotechnology, batch G0105)", 2.2.1.2.12,Homo sapiens,21029860,"GSM551136,GSE22162",,1000
PEAKS010173,ETV4_HUMAN,PC3,,"ETV4(Aviva Systems Biology, cat# ARP32263, lot# QC1723)", 3.5.2.2.5,Homo sapiens,22012618,"GSM738817,GSE29808",,1000
PEAKS010178,JUND_HUMAN,PC3,,"JUND(Santa Cruz Biotechnology, cat# sc-74, lot# C0310)", 1.1.1.1.3,Homo sapiens,22012618,"GSM738818,GSE29808",,1000
PEAKS010183,ESR1_HUMAN,estrogen-responsive breast cancer,"hormone starved for 3 days, treated with 10 nM ?-estradiol for 45 minutes",Estrogen Receptor (ER), 2.1.1.2.1,Homo sapiens,20056654,"GSM470419,GSE19013",,1000
PEAKS010191,CTCF_HUMAN,lymphoblastoid cells,,CTCF, 2.3.3.50.1,Homo sapiens,20299549,"GSM489295,GSM489296,GSE19622",,1000
PEAKS010202,CTCF_HUMAN,lymphoblastoid cells,,CTCF, 2.3.3.50.1,Homo sapiens,20299549,"GSM489291,GSE19622,GSM489292,GSM489290",,1000
PEAKS010203,CTCF_HUMAN,lymphoblastoid cells,,CTCF, 2.3.3.50.1,Homo sapiens,20299549,"GSM489293,GSM489294,GSE19622",,1000
PEAKS010206,RUNX1_HUMAN,CMK,,RUNX1, 6.4.1.0.2,Homo sapiens,20959602,"GSM610330,GSE24777",,1000
PEAKS010208,RUNX1_HUMAN,K562,24 hours following induction with TPA,RUNX1, 6.4.1.0.2,Homo sapiens,20959602,"GSM610334,GSE24777",,1000
PEAKS010211,GATA1_HUMAN,K562,24 hours following induction with TPA,GATA1, 2.2.1.1.1,Homo sapiens,20959602,"GSM610335,GSE24777",,1000
PEAKS010226,ERG_HUMAN,VCaP,siERG,ERG, 3.5.2.1.6,Homo sapiens,20478527,"GSM353639,GSE14092",,1000
PEAKS010227,CTCF_HUMAN,FB0167P,,CTCF, 2.3.3.50.1,Homo sapiens,22090374,"GSE32692,GSM808765,GSM808764",,1000
PEAKS010230,MYC_HUMAN,FB0167P,,cMYC, 1.2.6.5.1,Homo sapiens,22090374,"GSM808767,GSE32692,GSM808766",,1000
PEAKS010231,CTCF_HUMAN,MCF7,,CTCF, 2.3.3.50.1,Homo sapiens,22090374,"GSE32692,GSM808753,GSM808752",,1000
PEAKS010238,MYC_HUMAN,H54,,cMYC, 1.2.6.5.1,Homo sapiens,22090374,"GSE32692,GSM808774,GSM808773",,1000
PEAKS010240,STAT6_HUMAN,CD4+ T cells,Act for 1hr,stat6, 6.2.1.0.7,Homo sapiens,20620947,"GSM445804,GSE17850",,1000
PEAKS010286,SMAD1_HUMAN,K562-C/EBPA,bmp,SMAD1, 7.1.1.1.1,Homo sapiens,22036566,"GSM788365,GSE29195",,1000
PEAKS010287,GATA2_HUMAN,K562,,GATA2, 2.2.1.1.2,Homo sapiens,22036566,"GSM788368,GSE29195",,1000
PEAKS010288,SOX2_HUMAN,LN229 glioma cancer cells,,Sox2 antibody (Abcam cat#ab59776), 4.1.1.2.2,Homo sapiens,21211035,"GSM586971,GSE23795",,1000
PEAKS010303,PPARG_HUMAN,Simpson Golabi Behmel Syndrome (SGBS) human adi- pocytes,,sc-7196X, 2.1.2.5.3,Homo sapiens,21292830,"GSM634629,GSE25836,GSM634630",,1000
PEAKS010304,GATA2_HUMAN,Hematopoietic Stem & Progenitor Cells,,GATA2, 2.2.1.1.2,Homo sapiens,22036566,"GSM722396,GSE29194",,1000
PEAKS010306,FOXA2_HUMAN,Liver tissue,,FOXA2, 3.3.1.1.2,Homo sapiens,21292830,"GSM634615,GSM634616,GSM634613,GSM634614,GSE25836",,1000
PEAKS010311,GATA1_HUMAN,CD36,BRG1 KD shLuc control,ab-11852, 2.2.1.1.1,Homo sapiens,21795385,"GSM651547,GSE26501",,1000
PEAKS010312,TAL1_HUMAN,CD36,BRG1 KD shLuc control,sc-12984, 1.2.3.1.1,Homo sapiens,21795385,"GSM651545,GSE26501",,1000
PEAKS010313,GATA1_HUMAN,CD36,BRG1 RNAi KD,ab-11852, 2.2.1.1.1,Homo sapiens,21795385,"GSM651546,GSE26501",,1000
PEAKS010315,TAL1_HUMAN,CD36,BRG1 RNAi KD,sc-12984, 1.2.3.1.1,Homo sapiens,21795385,"GSM651544,GSE26501",,1000
PEAKS010327,MYC_HUMAN,NHEK,,sc-764X, 1.2.6.5.1,Homo sapiens,21750106,"GSM748557,GSE30226",,1000
PEAKS010331,MYC_HUMAN,H1_ES,,sc-764X, 1.2.6.5.1,Homo sapiens,21750106,"GSM748531,GSE30226",,1000
PEAKS010336,ERG_HUMAN,RWPE-1,,"FLAG(Sigma, cat# F1804, lot# 080M6035)", 3.5.2.1.6,Homo sapiens,22012618,"GSM738823,GSE29808",,1000
PEAKS010339,FLI1_HUMAN,megakaryocytes cultured from cord blood CD34-positive cells,,FLI1, 3.5.2.1.5,Homo sapiens,21571218,"GSM607952,GSE24674",,1000
PEAKS010340,TAL1_HUMAN,megakaryocytes cultured from cord blood CD34-positive cells,,SCL, 1.2.3.1.1,Homo sapiens,21571218,"GSM607953,GSE24674",,1000
PEAKS010342,GATA1_HUMAN,megakaryocytes cultured from cord blood CD34-positive cells,,GATA1, 2.2.1.1.1,Homo sapiens,21571218,"GSM607949,GSE24674",,1000
PEAKS010344,RUNX1_HUMAN,megakaryocytes cultured from cord blood CD34-positive cells,,RUNX1, 6.4.1.0.2,Homo sapiens,21571218,"GSM607951,GSE24674",,1000
PEAKS010349,JUND_HUMAN,GM12878,,Jun-D, 1.1.1.1.3,Homo sapiens,21811232,"GSM754331,GSE30399",,1000
PEAKS010354,GATA1_HUMAN,K562,,GATA1, 2.2.1.1.1,Homo sapiens,22036566,"GSM788367,GSE29195",,1000
PEAKS010363,P53_HUMAN,U2OS,Actinomycin D,?-p53-pS15 (Cell Signaling), 6.3.1.0.1,Homo sapiens,21394211,"GSM545811,GSE21939",,1000
PEAKS010372,P53_HUMAN,U2OS,Actinomycin D,DO1 (BD PharMingen), 6.3.1.0.1,Homo sapiens,21394211,"GSM545807,GSE21939",,1000
PEAKS010373,P53_HUMAN,U2OS,Etoposide,?-p53-pS15 (Cell Signaling), 6.3.1.0.1,Homo sapiens,21394211,"GSM545810,GSE21939",,1000
PEAKS010374,P53_HUMAN,U2OS,Actinomycin D,?-p53-pS15 (Cell Signaling), 6.3.1.0.1,Homo sapiens,21394211,"GSM545809,GSE21939",,1000
PEAKS010381,GCR_HUMAN,LNCaP-1F5,,GR, 2.1.1.1.1,Homo sapiens,21915096,"GSM759669,GSE30623",,1000
PEAKS010382,GCR_HUMAN,LNCaP-1F5,siFoxA1,GR, 2.1.1.1.1,Homo sapiens,21915096,"GSM759670,GSE30623",,1000
PEAKS010383,ANDR_HUMAN,LNCaP-1F5,siFoxA1,AR, 2.1.1.1.4,Homo sapiens,21915096,"GSM759660,GSM759659,GSE30623",,1000
PEAKS010384,FOSB_HUMAN,K562,24 hours following induction with TPA,FOS, 1.1.2.1.2,Homo sapiens,20959602,"GSM610337,GSE24777",,1000
PEAKS010386,FOXA1_HUMAN,LNCaP-1F5,,FoxA1, 3.3.1.1.1,Homo sapiens,21915096,"GSM759661,GSM759662,GSE30623",,1000
PEAKS010390,CTCF_HUMAN,CD36,BRG1 KD shLuc control,07-729, 2.3.3.50.1,Homo sapiens,21795385,"GSM651542,GSE26501",,1000
PEAKS010391,MYC_HUMAN,GM12878,,c-Myc, 1.2.6.5.1,Homo sapiens,21811232,"GSM754334,GSE30399",,1000
PEAKS010394,CTCF_HUMAN,CD34,,07-729, 2.3.3.50.1,Homo sapiens,21795385,"GSM651541,GSE26501",,1000
PEAKS010396,MAX_HUMAN,GM12878,,Max, 1.2.6.5.5,Homo sapiens,21811232,"GSM754333,GSE30399",,1000
PEAKS010397,TAL1_HUMAN,CD34,CD34 WT,sc-12984, 1.2.3.1.1,Homo sapiens,21795385,"GSM710611,GSE26501",,1000
PEAKS010399,SMAD2_HUMAN,endoderm progenitor derived from H9 hESC,D3,SC-8332, 7.1.1.1.2,Homo sapiens,21630377,"GSM761757,GSM761758,GSE19461",,1000
PEAKS010403,GATA1_HUMAN,K562,,GATA1, 2.2.1.1.1,Homo sapiens,19941826,"GSM467647,GSE18868",,1000
PEAKS010406,P53_HUMAN,IMR90,,sc126X [200mg/0.1ml], 6.3.1.0.1,Homo sapiens,22127205,"GSM783262,GSE31558",,1000
PEAKS010416,MYC_HUMAN,K562,,Myc, 1.2.6.5.1,Homo sapiens,20139302,"GSM487427,GSE19547",,1000
PEAKS010417,TF65_HUMAN,GM18505,TNF-alpha induced (6h),NF?B p65 (C-20) rabbit polyclonal antibody, 6.1.1.2.1,Homo sapiens,20299548,"GSM486275,GSM486274,GSM486276,GSM486277,GSM486278,GSE19485",,1000
PEAKS010421,CTCF_HUMAN,lymphoblastoid cells,,CTCF, 2.3.3.50.1,Homo sapiens,20299549,"GSM489302,GSE19622,GSM489301",,1000
PEAKS010422,CTCF_HUMAN,lymphoblastoid cells,,CTCF, 2.3.3.50.1,Homo sapiens,20299549,"GSM489300,GSM489299,GSE19622",,1000
PEAKS010425,SMAD3_HUMAN,H9,,ab28379, 7.1.1.1.3,Homo sapiens,21741376,"GSM727585,GSE29422",,1000
PEAKS010427,SMAD2_HUMAN,H9,,sc-8332, 7.1.1.1.2,Homo sapiens,21741376,"GSM727583,GSE29422",,1000
PEAKS010429,SMAD4_HUMAN,H9,,R&D Systems AF2097, 7.1.1.2.1,Homo sapiens,21741376,"GSM727561,GSE29422",,1000
PEAKS010430,SMAD3_HUMAN,H9,,ab28379, 7.1.1.1.3,Homo sapiens,21741376,"GSM727559,GSE29422",,1000
PEAKS010431,SMAD2_HUMAN,H9,,R&D Systems AF3797, 7.1.1.1.2,Homo sapiens,21741376,"GSM727558,GSE29422",,1000
PEAKS010433,TF7L2_HUMAN,LS180 cells,"1,25(OH)2D3",TCF4, 4.1.3.0.3,Homo sapiens,22108803,"GSM791410,GSE31939",,1000
PEAKS010434,TF7L2_HUMAN,LS180 cells,vehicle control,TCF4, 4.1.3.0.3,Homo sapiens,22108803,"GSM791409,GSE31939",,1000
PEAKS010435,CEBPB_HUMAN,LS180 cells,"1,25(OH)2D3",CEBPb, 1.1.8.1.2,Homo sapiens,22108803,"GSM791412,GSE31939",,1000
PEAKS010439,SP1_HUMAN,HCT116,,SP1, 2.3.1.1.1,Homo sapiens,,"GSM855449,GSE34791",,1000
PEAKS010442,GATA1_HUMAN,primary human PBMC derived erythroblasts,,GATA1 made in-house, 2.2.1.1.1,Homo sapiens,22025678,"GSM804014,GSM804013,GSE32491",,1000
PEAKS010447,PPARG_HUMAN,hASC,time point 4,"Cell Signaling Technologies, Cat# 2443, Lot# 5/29/2007", 2.1.2.5.3,Homo sapiens,20887899,"GSM534494,GSE21366",,1000
PEAKS010448,PPARG_HUMAN,hASC,time point 4,"SCBT, Cat# SC-7196X, Lot# A0380", 2.1.2.5.3,Homo sapiens,20887899,"GSM534493,GSE21366",,1000
PEAKS010449,CTCF_HUMAN,hASC,time point 4,"Upstate, Cat# 07-729, Lot# 1350637", 2.3.3.50.1,Homo sapiens,20887899,"GSM534492,GSE21366",,1000
PEAKS010450,CTCF_HUMAN,hASC,time point 3,"Upstate, Cat# 07-729, Lot# 1350637", 2.3.3.50.1,Homo sapiens,20887899,"GSM534485,GSE21366",,1000
PEAKS010466,STA5B_HUMAN,T cell,,STAT5B, 6.2.1.0.6,Homo sapiens,21516110,"GSM671401,GSE27158",,1000
PEAKS010470,STAT1_HUMAN,T cell,,STAT1, 6.2.1.0.1,Homo sapiens,21516110,"GSM671395,GSE27158",,1000
PEAKS010480,CEBPA_HUMAN,Mesenchymal stem cells-derived adipocytes,,sc-9314X, 1.1.8.1.1,Homo sapiens,21655096,"GSM599838,GSE24326",,1000
PEAKS010481,E2F4_HUMAN,Mesenchymal stem cells-derived adipocytes,,sc-1082X, 3.3.2.1.4,Homo sapiens,21655096,"GSM599837,GSE24326",,1000
PEAKS010487,TF65_HUMAN,GM19099,TNF-alpha induced (6h),NF?B p65 (C-20) rabbit polyclonal antibody, 6.1.1.2.1,Homo sapiens,20299548,"GSE19485,GSM486281,GSM486282,GSM486283",,1000
PEAKS010488,TF65_HUMAN,GM15510,TNF-alpha induced (6h),NF?B p65 (C-20) rabbit polyclonal antibody, 6.1.1.2.1,Homo sapiens,20299548,"GSM486288,GSM486287,GSM486289,GSM486290,GSE19485,GSM486286",,1000
PEAKS010490,TF65_HUMAN,GM10847,TNF-alpha induced (6h),NF?B p65 (C-20) rabbit polyclonal antibody, 6.1.1.2.1,Homo sapiens,20299548,"GSM486300,GSM486299,GSM486301,GSM486298,GSM486302,GSE19485",,1000
PEAKS010491,GATA2_HUMAN,K562,bio,GATA2, 2.2.1.1.2,Homo sapiens,22036566,"GSM722414,GSE29195",,1000
PEAKS010493,SMAD1_HUMAN,K562,bmp,SMAD1, 7.1.1.1.1,Homo sapiens,22036566,"GSM722416,GSE29195",,1000
PEAKS010497,CEBPA_HUMAN,U937,dmso,CEBPA, 1.1.8.1.1,Homo sapiens,22036566,"GSM722424,GSE29195",,1000
PEAKS010499,CEBPA_HUMAN,U937,bio,CEBPA, 1.1.8.1.1,Homo sapiens,22036566,"GSM722423,GSE29195",,1000
PEAKS010503,SMAD4_HUMAN,H9,,R&D Systems AF2097, 7.1.1.2.1,Homo sapiens,21741376,"GSM727586,GSE29422",,1000
PEAKS010506,PO5F1_HUMAN,BGO3 (feeder free),,Oct4, 3.1.10.5.1,Homo sapiens,22036565,"GSM539547,GSE21614",,1000
PEAKS010507,SMAD3_HUMAN,BGO3 (feeder free),,Smad3, 7.1.1.1.3,Homo sapiens,22036565,"GSM539548,GSE21614",,1000
PEAKS010513,HNF4A_HUMAN,Caco-2,differentiated cells,HNF4A (Santa Cruz 8987 and Santa Cruz 6547), 2.1.3.2.1,Homo sapiens,21074721,"GSM575229,GSE23436",,1000
PEAKS010515,MYC_HUMAN,BL41,,sc-764, 1.2.6.5.1,Homo sapiens,22102868,"GSM762710,GSE30726",,1000
PEAKS010516,MYC_HUMAN,Ramos,,sc-764, 1.2.6.5.1,Homo sapiens,22102868,"GSM762711,GSE30726",,1000
PEAKS010517,MYC_HUMAN,CA46,,sc-764, 1.2.6.5.1,Homo sapiens,22102868,"GSM762708,GSE30726",,1000
PEAKS010518,MYC_HUMAN,Blue1,,sc-764, 1.2.6.5.1,Homo sapiens,22102868,"GSM762709,GSE30726",,1000
PEAKS010519,MYC_HUMAN,K562,,sc-764X, 1.2.6.5.1,Homo sapiens,21750106,"GSM748551,GSE30226,GSM748553,GSM748552",,1000
PEAKS010520,MYC_HUMAN,Raji,,sc-764, 1.2.6.5.1,Homo sapiens,22102868,"GSM762707,GSE30726",,1000
PEAKS010523,MYC_HUMAN,GM12878,,sc-764X, 1.2.6.5.1,Homo sapiens,21750106,"GSM748526,GSE30226,GSM748527",,1000
PEAKS010528,E2F1_HUMAN,MCF7 cell line stably expressing HA ER E2F1 DNA binding domain mutant,,"mouse anti-HA (Covance, catalog # MMS-101P)", 3.3.2.1.1,Homo sapiens,21310950,"GSM699986,GSE28286",,1000
PEAKS010534,SPI1_HUMAN,CD133+ expanded umbilical cord blood (UCB) cells,,Pu.1, 3.5.2.5.1,Homo sapiens,21241896,"GSM638311,GSE26014,GSM638310",,1000
PEAKS010537,FOS_HUMAN,MCF-7,E2,"cFos - Cat# sc-7202, Santa Cruz", 1.1.2.1.1,Homo sapiens,21179027,"GSM659789,GSE26831",,1000
PEAKS010538,FOXA1_HUMAN,MCF-7,,"FOXA1 - Cat# AB4124, Chemicon", 3.3.1.1.1,Homo sapiens,21179027,"GSM659788,GSE26831",,1000
PEAKS010539,NKX31_HUMAN,LNCaP androgen-dependent prostate cancer cell line,ethanol,sc-15022, 3.1.2.16.1,Homo sapiens,,"GSM699632,GSE28264",,1000
PEAKS010541,ZN711_HUMAN,neuroblastoma cell line SH-SY5Y,,anti-ZNF711, 2.3.4.13.2,Homo sapiens,20346720,"GSM518560,GSE20673",,1000
PEAKS010542,CTCF_HUMAN,H1 embryonic stem cell,,CTCF, 2.3.3.50,Homo sapiens,20526341,"GSM518375,GSE20650",,1000
PEAKS010543,PO5F1_HUMAN,H1 embryonic stem cell,,OCT4, 3.1.10.5.1,Homo sapiens,20526341,"GSM518373,GSE20650",,1000
PEAKS010546,SPI1_HUMAN,THP-1,,anti-PU.1, 3.5.2.5.1,Homo sapiens,,"GSM624143,GSE25426",,1000
PEAKS010548,ETS1_HUMAN,"Jurkat, clone E6-1 T lymphocyte",,ETS1 sc355 from Santa Cruz Biotechnology, 3.5.2.1.1,Homo sapiens,20019798,"GSM449525,GSE17954",,1000
PEAKS010549,TAF1_HUMAN,H1,,TAFII, 4.1.3.0.5,Homo sapiens,19829295,"GSM447588,GSM447586,GSE17917",,1000
PEAKS010551,ZN263_HUMAN,K562,,ZNF263, 2.3.3.0.79,Homo sapiens,19887448,"GSM476651,GSE19235,GSM476650",,1000
PEAKS010566,FOXP1_HUMAN,H9 hESCs,,FOXP1, 3.3.1.16.1,Homo sapiens,21924763,"GSM768311,GSM768310,GSE31006",,1000
